Price,Location,Property Type,Area,Posted Date
"₹88.2 Lac₹6,300 per sqft",N/A,"Carpet Area1400 sqftStatusReady to MoveFloor1 out of 5TransactionNew PropertyFurnishingSemi-FurnishedfacingEastoverlookingGarden/Park, Main RoadOwnershipFreeholdCar Parking1 CoveredBathroom3Balcony2",N/A,N/A
"₹2 Cr₹10,101 per sqft",N/A,"Carpet Area1796 sqftUnder ConstructionPoss. by Feb '26Floor10 out of 36TransactionResaleFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Main RoadOwnershipFreeholdCar Parking1 OpenBathroom3Balcony1",N/A,N/A
"₹1.35 Cr₹9,963 per sqft",N/A,Carpet Area949 sqftUnder ConstructionPoss. by May '27Floor9 out of 19TransactionResaleFurnishingUnfurnishedfacingNorth - EastoverlookingGarden/ParkOwnershipFreeholdCar Parking1 CoveredBathroom2,N/A,N/A
"₹1.25 Cr₹6,944 per sqft",N/A,Super Area1800 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3,N/A,N/A
"₹1.60 Cr₹7,185 per sqft",N/A,Carpet Area1857 sqftStatusReady to MoveFloor1 out of 5TransactionNew PropertyFurnishingSemi-FurnishedfacingSouthoverlookingMain RoadOwnershipFreeholdBathroom3Balcony2,N/A,N/A
"₹5.27 Cr₹12,800 per sqft",N/A,Super Area4120 sqftUnder ConstructionPoss. by Nov '29Floor1 out of 60TransactionNew PropertyFurnishingSemi-FurnishedCar Parking60 CoveredBathroom4Balcony1,N/A,N/A
₹54 Lac,N/A,"Carpet Area1200 sqftUnder ConstructionPoss. by Mar '27Floor2 out of 5TransactionNew PropertyFurnishingUnfurnishedfacingWestoverlookingGarden/Park, Main RoadOwnershipFreeholdBathroom2Balcony2",N/A,N/A
"₹76 Lac₹6,903 per sqft",N/A,Super Area1101 sqftUnder ConstructionPoss. by Dec '26Floor21 out of 23TransactionResaleFurnishingUnfurnishedoverlookingGarden/ParkOwnershipFreeholdCar Parking1 CoveredBathroom2Balcony2,N/A,N/A
"₹6.50 Cr₹18,571 per sqft",N/A,Super Area3500 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedfacingWestoverlookingGarden/ParkOwnershipFreeholdBathroom4Balcony2,N/A,N/A
"₹87.3 Lac₹6,465 per sqft",N/A,"Carpet Area1350 sqftStatusReady to MoveFloor12 out of 20TransactionNew PropertyFurnishingSemi-FurnishedfacingEastoverlookingGarden/Park, Pool, Main RoadOwnershipFreeholdCar Parking1 CoveredBathroom2Balcony1",N/A,N/A
"₹1.10 Cr₹6,885 per sqft",N/A,Super Area1602 sqftUnder ConstructionPoss. by Feb '28TransactionNew PropertyFurnishingUnfurnishedCar Parking2 CoveredBathroom3,N/A,N/A
"₹1.22 Cr₹7,700 per sqft",N/A,Super Area1585 sqftTransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1,N/A,N/A
"₹2.10 Cr₹10,145 per sqft",N/A,"Carpet Area1356 sqftStatusReady to MoveFloor10 out of 20TransactionResaleFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Main RoadOwnershipFreeholdCar Parking2 CoveredBathroom3Balcony1",N/A,N/A
"₹1.09 Cr₹5,525 per sqft",N/A,"Carpet Area1422 sqftUnder ConstructionPoss. by Aug '27Floor10 out of 30TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Pool, Main RoadOwnershipFreeholdCar Parking2 CoveredBathroom3Balcony2",N/A,N/A
"₹1.60 Cr₹5,590 per sqft",N/A,Carpet Area2433 sqftUnder ConstructionPoss. by Dec '26Floor7 out of 31TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/ParkOwnershipFreeholdCar Parking3 CoveredBathroom3Balcony3,N/A,N/A
"₹1.14 Cr₹7,373 per sqft",N/A,Carpet Area1300 sqftUnder ConstructionPoss. by Dec '27Floor18 out of 42TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/ParkOwnershipFreeholdCar Parking1 CoveredBathroom2Balcony1,N/A,N/A
"₹1.98 Cr₹7,699 per sqft",N/A,"Carpet Area2582 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/ParkOwnershipFreeholdCar Parking1 Covered,Bathroom5Balcony3",N/A,N/A
"₹1.53 Cr₹7,400 per sqft",N/A,Carpet Area1659 sqftUnder ConstructionPoss. by Mar '26Floor23 out of 33TransactionNew PropertyFurnishingUnfurnishedfacingWestOwnershipFreeholdCar Parking2 CoveredBathroom3Balcony3,N/A,N/A
"₹3.22 Cr₹11,891 per sqft",N/A,Carpet Area2100 sqftUnder ConstructionPoss. by Dec '28Floor5 out of 13TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/ParkOwnershipFreeholdCar Parking3 CoveredBathroom3Balcony3,N/A,N/A
